userName,teks_ulasan,rating,tanggal_ulasan
Reno Andi,Ok,5,2026-05-12 02:00:12
Fusna Fusna,zoom,5,2026-05-12 00:35:40
Tomas Pratama,ga bisa log in,1,2026-05-12 00:32:42
JOSE-BATFYOR JOSE,SAYA KASIH BINTANG TIGA DULU SOAL NYA SAYA MAU MENDAFTAR DI APK ZOOM INI KOK SULIT BANGET YAH...,3,2026-05-12 00:09:00
Endangpraba Daniar,boleh juga,5,2026-05-11 11:44:33
Karsono,Dapat membantu saya dan keluarga dalam berkomunikasi di group,4,2026-05-11 08:03:05
Rival Firmansyah,good,5,2026-05-11 05:41:22
Nur Anisah,membantu,5,2026-05-11 04:44:26
Marselino Aditya Nugraha,"saya kecewa dengan fitur zoom, jadi ceritanya saya ada presentasi kuliah yang dmn dosennya menyuruh kita untuk me record setiap presentasi, pada saat kelompok saya presentasi mulai lah direcord sampai selesai dan ketika selesai ada bacaan ""apa anda yakin ingin menyimpan rekaman ini ke could jika iya anda akan menerima notifikasi ke email ketika rekaman sudah siap"" kebetulan email saya penuh, tapi seharusnya rekaman tersebut terdaftar di could saya juga sudah login zoom, tapi kenyataannya tidak.",1,2026-05-11 04:24:55
Larti Sularti,aku bisa zoom jadinya🥰🥰🥰,5,2026-05-10 12:40:20
Abdul Rachman,semoga makin jaya dan merekah,5,2026-05-10 00:41:43
Wyla Aan,baguss,5,2026-05-10 00:06:12
Padly,bikin record nya bisa 2x tap kanan kiri buat maju mundur lah,4,2026-05-09 16:15:48
Subhan Nur,memudahkan,5,2026-05-09 14:32:54
Nizhaar Sabyan Putra,"mantapsssssssssssssss,.zoom sangat membantu untuk berkomunikasi tidak usah keluar rumah dan capek capekkk gampang amat gak susah tapi sering ngelek banget tapi berguna kok semoga juga tidak bikin saya emosi karna ngelek dan aneh background nya kata teman saya bisa di ubah (background nya di foto galeri ternyata teman. saya bisa diganti background nya foto nya dari galeri dan mi browser giliran saya tidak bisa di ubah foto nya masak saya dikasih background babi/monyetsemoga dibenerin Aamiin",4,2026-05-09 14:14:00
Syahroni Roni,cari solusi pengusasha tp blm mengerti insya allah mengerti ????🤲😇🙏,5,2026-05-09 12:35:26
Jaka Subagja,top,5,2026-05-09 12:24:49
daffa tiara,apakah fitur virtual background di hp samsung A35 tidak bisa dilakukan di zoom? mohon infonya terima kasih,5,2026-05-09 11:20:43
Rudi yanto,Aplikasi Yg Bagus,5,2026-05-09 11:08:29
Mohammad Huda,sangat berguna dan tidak makan tempat,5,2026-05-09 07:13:32
M Adil Rasjid,"Banyak Sekali Digunakan Semoga Selalu memberikan Layanannya, Wslm 🤩🤗",4,2026-05-09 01:57:02
Rosain Paputungan,Puas,4,2026-05-09 00:54:04
Endra Raharjo,stabil dan suaranya terdengar jelas,4,2026-05-09 00:47:13
Rizkilia Dewi Wulandari,bagus,5,2026-05-09 00:36:06
Triasyaaa Triasyaaa,gabisa di download,1,2026-05-08 16:02:05
Atiqah,"Aplikasi meeting paling brengsek. Dulu pas jaman covid leluasa aja memakainya, fitur-fitur masih mendukung android. Sekarang? harus premium. Banget. Kikir parah ini aplikasi, siapa yang rela bayar ratusan hanya demi meeting yang lebih dari 40 menit + background langsung dari galeri?",1,2026-05-08 12:40:06
Fauzanpewarta Foto,percobaan bisnis,5,2026-05-08 06:47:12
Uco Piyak,ok,5,2026-05-08 03:03:45
Adi Joko,mantap,5,2026-05-08 02:40:22
Iswanto Putra pratama,"sekarang entah kenapa zoom gak enak,gak kayak dulu.sekarang kalau lama gak zoom tiba² mau zoom eh zoom nya gak mau buka harus update atau instal ulang",1,2026-05-08 02:06:37
Ridho Sobri,oke,5,2026-05-08 02:04:21
Gilbert Satriani,ok,4,2026-05-08 01:33:45
fahis sj,kenapa tidak bisa pasang background dari hasil download,3,2026-05-07 16:27:29
Nur Sugianti,ok,5,2026-05-07 11:24:08
Muhamad Sidgi Kurnia,"Minta tolong untuk pengelola Apk zoom, knpa ini tiba tiba saldo saya di potong untuk berlangganan, Mohon untuk bisa di refund ya soalnya saya gatau tiba tiba terpotong dan gaada konfirmasi lewat email atau apapun",1,2026-05-07 08:47:24
rasniati aira,baik skli,5,2026-05-07 06:47:23
SUPANDI PANDI,sangat membantu untuk kegiatan rapat yg urjen,5,2026-05-06 12:08:05
Sutiyah Sutiyah,sangat membantu dalam berbagai kegiatan,5,2026-05-06 08:05:22
Eka Putri Sari,Gk bisa di download apk zoom nya,1,2026-05-06 07:19:45
Ruben Syahril,Bagus,5,2026-05-06 03:43:03
lambok sijabat,tidak bisa ganti background,4,2026-05-06 01:34:46
Abdur Rahman Binnas,bagus lancar dan banyak manfaat,5,2026-05-06 01:18:31
Sahban Juliadinata,good zoom meeting,5,2026-05-05 23:54:18
Lieelyy Lele,zoom kok sekarang jadi aneh dan menyusahkan ya? tidak muncul fitur background meski sudah di otak atik bahkan mencoba di 4 HP berbeda tetap tidak muncul. NYEBELIN,1,2026-05-05 14:50:25
Mhd Zulfani,keren dan mudah,1,2026-05-05 07:26:19
agung susanto,background belum bisa,4,2026-05-05 05:57:20
Musyda Hadaitullah,mantap,5,2026-05-05 04:46:32
Andika Ngb,mantap,5,2026-05-05 03:12:00
Erik Herianto,mantab,5,2026-05-05 03:08:08
Ncang Sarif,sangat baik,5,2026-05-05 02:46:32
Sunarto Tampan,sangat membantu,5,2026-05-05 02:22:57
Agus M firdaus,maunya diupdate ga bisa,4,2026-05-05 02:15:57
Naila Aulia,Tolong buat lebih aman bagi sistem kameranya,1,2026-05-05 00:34:33
魔王 Aylinn ๋࣭,"backgroundnya pilih kasih, ada yg bisa ada yg kaga",1,2026-05-04 17:16:41
Rabiah Emilia Naroba,terbaik saya menyukainya,5,2026-05-04 13:39:22
Trader Yahut,ok,5,2026-05-04 10:09:08
Resza Fahlevi,"Kalo update dibackground aja, jgn pas mau pake nunggu update beres",1,2026-05-04 08:16:13
herlin datu07,tidak bisa menggunakan background,1,2026-05-04 07:26:06
Frendy Pradana,"tidak ada opsi ganti background, padahal hp saya juga baru",1,2026-05-04 05:50:19
alkha bubun,"kok gak bisa di download, padahal penyimpanan masih kosong",1,2026-05-04 03:39:05
Muchamad Hastowo,tidak bisa join rapat disuruh perbaharui terus ke versib7 namun sudah diupdate tetap tidak bisa,1,2026-05-04 02:42:12
Muh. Daffa varizky,"minimal cpet dong,lama. bgt",1,2026-05-04 01:38:47
Puji Anto,baik,5,2026-05-04 00:45:28
WNKLN,why I can not update this apps,1,2026-05-04 00:35:40
Eddy Chang,buat sekolah tapi waktu gua tulis 2011 di tahun lahir malah gabisa loh ya,2,2026-05-03 03:05:41
isti komah,"bagus banget, rugi kalo ga nonton broo",5,2026-05-03 02:00:30
Naura Nabila,susah mendaftar,1,2026-05-03 01:40:53
EKO PRASETIYO,mantap,5,2026-05-03 01:16:04
kireina ithurindu,sangat susah setiap log in harus nggu kode verifikasi dan dikirim sangat lambat sampai waktu habis,1,2026-05-02 12:35:58
Arya Wijaya. XI.E,"Brother, why? backround is from anyone to anyone else",4,2026-05-02 11:50:46
aulia makarimal Akhlak,bagus sangat berguna untuk saya les,4,2026-05-02 08:36:45
Yohana Martin Pattanggau,Nice,5,2026-05-02 08:33:51
Jamil guede,bg donk. duuh parah. berlangganan pun tetap ga guna. bg ga bsa dipake,1,2026-05-02 05:06:24
Abo Mokoginta,good aplikasih,5,2026-05-02 03:41:21
Agus Isnanto,mantap,5,2026-05-02 03:02:32
Abin dermawan Acang,saya senang banget menggunakan aplikasi zoom sangat mempermudah aktivitas,5,2026-05-01 19:07:00
Muhammad Baihaqi,Gak bisa ganti background,2,2026-05-01 16:12:18
Ainayya Nayya,susah kali masuk ke akunnya,1,2026-05-01 08:34:51
Rizka Deer,"The new update sucks, I can't use the background fiture.",1,2026-05-01 08:05:58
Ichwan Karunia,"buruk sekali privasi nya!!!, beda dengan meet, disini ngga ada setting tutup kamera / mute microphone saat bergabung via tautan!!!!!!",1,2026-05-01 03:04:30
Siti Syarifah,susah masuk zoom,5,2026-05-01 02:24:48
Awang Kelana,nice,5,2026-05-01 02:08:50
Budi Aris,bagus sekali,5,2026-05-01 00:35:24
Kinan Thi,bagus sekali dan saya bisa belajar online,5,2026-04-30 23:25:53
siti chandra widjanantie,great,5,2026-04-30 14:18:30
wismanto setyadi,kadang lama,5,2026-04-30 10:48:09
Hasbullah Ilan,jadi hemat biaya,5,2026-04-30 08:36:15
Azfa hidayat,useless garbage,1,2026-04-30 08:25:06
Hadi Sutomo,bagus,5,2026-04-30 08:22:11
Liferia Alice,"baru saja install, dibuat join malah disuruh update.. klik update diarahin ke playstore gak ada tombol update. kocak",1,2026-04-30 07:14:39
Buka Lombok,Sidah di perbarui kok masoh requared perbarui sih,3,2026-04-30 07:10:26
Dwi Santoso,bgus,5,2026-04-30 06:59:04
aziz budiarto,parah sekarang logout sendiri terus,1,2026-04-30 06:34:25
S Hfz,sekarang di HP udah bisa pakai background. update bagus,5,2026-04-30 00:55:39
Mokhamad Sukamto,so easy clear and thanks,5,2026-04-29 23:41:08
Roda Yani,good,5,2026-04-29 16:57:32
Mariyanto 33,ada apa up date,5,2026-04-29 13:32:59
Daffa Adji,siap baik,5,2026-04-29 13:10:05
Astro,pas daftar akun malah tidak bisa di daftar kan,1,2026-04-29 12:55:32
Nuraini,bagus😊,5,2026-04-29 10:00:00
ryan,"aplikasi yang sangat buruk yang pernah saya temui,jangan pernah di download deh,sengaja saya kasih bintang 5 agar kelihatan",5,2026-04-29 08:30:28
Indra Suzanna Famuji Rahayu,biarkan bintang yang berbicara,5,2026-04-29 06:34:38
Abdul Rahman,puas,5,2026-04-29 01:25:11
Oby Eko Purwanto,"sangat membantu sekali untuk kita yang memiliki mobilitas tinggi dan aktivitas dinamis, dapat hadir fleksible di ruang kerja digital dari mana saja kapan pun dimana pun.",5,2026-04-29 00:48:42
Ratih Purnasari,"Dengan adanya zoom ini, dapat mempermudah beberapa pekerjaan tanpa harus hadir langsung di lapangan.",4,2026-04-28 22:37:28
Ld Syaffari lanuru,ok,5,2026-04-28 16:19:54
Dita Marshila,semoga dengan zoom ini aku bisa ketrima ke pondok buma bantu aminin yaa,5,2026-04-28 11:48:11
sabki marjono,tidak bisa buka obrolan,5,2026-04-28 11:12:09
abdul khoir,sangat penting,5,2026-04-28 07:05:04
Ibrahim Aqiel Aqiel,mantab boss qu,5,2026-04-28 06:10:05
Komarudin Komarudin,Aplikasi Cukup Baik,4,2026-04-28 01:58:28
Johan Kemayoran,ok,5,2026-04-27 13:47:14
Aldo Japri,Gak ada fitur Latar Belakang pas memakai handphone POCO. Jadinya tidak bisa nampilin Latar Belakang sembari aktivitas apapun,1,2026-04-27 12:41:09
Frozz,sudah dow load namun error trus harus,1,2026-04-27 12:27:25
GGR 1990,top,5,2026-04-27 05:49:05
Salim Gassing,keren,5,2026-04-27 03:23:04
Lefrandy Praditya,sedikit2 mucun zoom tidak menanggapi,1,2026-04-27 02:55:34
gunawan ramdani,banyak bugnya tolong diperbaiki,1,2026-04-27 02:14:52
Roni Wulandari,mantaap,5,2026-04-27 01:52:43
Afiqah Azkia,pdhl penyimpanan udh kosong and smua apk dihapus kok gabisa di download yh,1,2026-04-26 23:26:08
Windi Renaldi,tutup aja apk ini udh gk guna,1,2026-04-26 16:46:07
Shinta Usniawati,kenapa sih suka keluar sendiri !!!,2,2026-04-26 14:09:31
Ahmad Zaki,membantu sekali dalam dunia kerja terutama para prkerja yg dinas di luar kota,5,2026-04-26 13:22:41
antomi antomi,sangat membantu,5,2026-04-26 12:10:43
Miralce,mantap,5,2026-04-26 03:36:01
Niit Mursalim,lucuk,5,2026-04-26 02:53:33
Khemal Andryawan,sangat membantu apk ini,5,2026-04-25 15:37:42
ufauziyah 25,ga ada fitur ganti vb,2,2026-04-25 11:39:05
Abdul Basir,Alhamdulillah bisa mengunakan aplikasi ini,5,2026-04-25 08:27:56
SKI_NUR SUKI,bagus,4,2026-04-25 03:00:42
Dianasari Kurman,tidak bisa pakai background,4,2026-04-25 01:14:56
Maksimus Salu,aplikasinya sangat mantap dan membantu,4,2026-04-25 00:47:43
Naufal musyaffa hariyanto,makin update mkin bobrok,1,2026-04-24 17:33:35
Suriyati Tanjung,susah masuk zoom nya selalu saja bermasalah dan tidak sangat mendukung aplikasinya,1,2026-04-24 12:48:36
hasan085 hasan,mantap,5,2026-04-24 12:42:33
Raymond Alexander,aplikasi sampah. google meet jauh lebih baik,1,2026-04-24 11:54:22
Bonsai Estetik,"is a reliable and user-friendly video conferencing app that makes online meetings, classes, and collaborations feel seamless. It offers clear audio and video quality, easy screen sharing, and useful features like breakout rooms and recording. Whether for work or personal use, Zoom stands out as a practical and efficient tool for staying connected from anywhere.",5,2026-04-24 02:56:19
Ainun Fadilla,mantap poll 🙏,5,2026-04-24 02:39:00
Bagus Subroto,Sangat mendukung sekali,4,2026-04-24 01:45:11
Imas Maslihah,luarbiasa,5,2026-04-24 00:46:39
Damaris Sura Rongre,good,5,2026-04-24 00:11:36
Francisco Araujo De Andrade Pereira,bruk atau tidak,5,2026-04-23 12:57:40
30.Rahmat Diono,bagus,5,2026-04-23 11:54:36
Irfan Mr,"balok-balok ketika share screen itu membuat siswa tidak fokus, saya sangat terganggu dg hal tersebut, harusnya dihapus saja fitur itu",1,2026-04-23 07:14:00
Ashadi Siswoyo,Bertahun tahun saya menggunakan aplikasi ini dan sudah menjadi bagian dalam hidup saya,5,2026-04-23 05:20:17
Nursyam syam,Baik,4,2026-04-23 02:18:58
Tuty Herawati,saya pernah buka Zoom dg mudah unt ikuti rapat,5,2026-04-23 00:44:11
revi mendung,sesuai dan suara dan gambar jelas,5,2026-04-23 00:33:07
AmirG,program zoom berjalan dng baik tanpa terputus dengan kualitas suara yg jelas.,5,2026-04-22 14:41:55
Bayu Kurniawan,good,5,2026-04-22 13:42:03
Asiu Yulianita,bagus dan terdengar,4,2026-04-22 12:42:24
Hafidz Exzty,"sudah buat jadwal jam 08.09 eh mulai nya jam 10, sudah di filter seperti itu masih aja gk berubah jam nya, zoom aplikasi aneh",1,2026-04-22 12:27:48
SURATMI SURATMI,bisa gak . gak nyedot kuota . makan kuota gede bgt . sementara harga harga makin mehong . puyeng pala buat ngebaginya .,1,2026-04-22 12:27:01
Xiie Lee Tee,The Best Zoom Workplace.,5,2026-04-22 12:25:43
Arifin,good meeting,5,2026-04-22 12:15:59
hardi Winoto,luar biasa lancar jaya,5,2026-04-22 09:47:44
Agung Sanjaya,suara kecil sekali,4,2026-04-22 07:47:19
family 12,bagus,5,2026-04-22 07:44:20
Makruf Yanto,baik byattttt,5,2026-04-22 06:01:07
Yusef Muldiyana Abah,Terimakasih,5,2026-04-22 04:34:15
Anton Yuwono,lancar sekali,5,2026-04-22 04:33:11
George Soleman Johannes,Ada perbaikan bug.,5,2026-04-22 03:06:20
Radika Raharjo,bagus,5,2026-04-22 01:09:28
ToM TomAAii,"bikin HP panas overheat, semua pada nyala nyedot banget batere",1,2026-04-21 23:10:25
Nur Idham,Sangat pekerjaan,5,2026-04-21 22:37:44
Fathur Ramdhani,nice,5,2026-04-21 18:13:06
Rizaldy Akbar,"sangat buruk, gak bisa ganti background",1,2026-04-21 15:06:16
Joni Putra,sangat baik,5,2026-04-21 14:43:20
Java Jazzy,Fitur ganti background sudah ga ada ya?,1,2026-04-21 11:46:32
Intan Miliyarti Dewi,Tidak bisa di update why why?,1,2026-04-21 08:42:01
Ikhsan Maulana Muslim,di HP infinix kenapa gk ada backgroundnya aneh,3,2026-04-21 07:58:32
Bukhori Ri,apl yg sangat mmbantu efesiensi,5,2026-04-21 06:45:19
Pingkan Momongan,baik,5,2026-04-21 04:04:36
Rifa Zakiyah,zoom ini sangat bermanfaat untuk mahasiswa atau ada acara meeting dalam jarak jauh jadi bisa komunikasi secara online. zoom sangat membantu,5,2026-04-20 14:44:37
Aqila Nisa,bagus Alhamdulillah,5,2026-04-20 14:42:28
Helmi Saqinah EKA,kenapa apk tidak bisa di download padahal ruang penyimpanan di hp belum penuh,1,2026-04-20 11:46:48
Ani Lorensa,"Adain vitur background buat semua android pliss, jadi susah kalo laptop lagi rusak terus ada meeting yg mengharuskan pakai background",5,2026-04-20 11:38:05
Yan War Putra Harefa,tiap x masuk di aplikasinya kadang lelet,1,2026-04-20 06:47:56
Janter22 Pas,lebih baik,4,2026-04-20 00:02:09
Galih Rasendriya Musakib,Aku kan lagi PJJ Aku Butu Zoom,5,2026-04-19 23:52:41
Muklis Jayadi,nice,5,2026-04-19 22:26:43
Verdiana Cindra Gurdi,Tidak bisa di download,1,2026-04-19 20:20:52
Gezha Putra,di instal gagal terus. padahal memori internal masih penuh. mohon di perbaiki 🙏,1,2026-04-19 16:17:01
Cheper Ombak,"tidak bisa pakai fitur bayground nya, payah",1,2026-04-19 09:30:57
Asep Dian Hidayat,tidak bisa memakai kamera,1,2026-04-19 09:22:42
Aulia Putri,zoom tidak bisa di Download di hp saya. padahal di hp lain dengan tipe yang sama bisa. tapi kenapa dihp saya tidak?,1,2026-04-19 05:48:50
Boyz Akhun,zoom bisa,5,2026-04-19 05:37:54
Yohana Wawung,bagus,5,2026-04-19 02:32:07
bayu prasetyo,habis update malah gk bisa on camera,1,2026-04-19 01:55:08
Aby Dinar,Mantap dan terbaik,5,2026-04-18 22:38:21
naa,good,5,2026-04-18 15:10:09
Via,udah join room tapi bagian breakout room nya ga bisa di pencet,1,2026-04-18 11:22:30
Shintia Melliyana,kenapa sih kemeranya enggak bisa berfungsi,2,2026-04-18 11:21:05
Dippos Black,kenapa susah ubah background zoom pada aplikasi di android?,4,2026-04-18 11:00:42
Rmazhari Mertowijoyo,soogod,5,2026-04-18 09:25:03
DausZ DjiTorV,Jujur semakin kesini semakin menyusahkan ini aplikasi,1,2026-04-18 05:33:18
Febrian batubara Batubara,"gak bisa background, HP sekarang udah mumpuni semua padahal",3,2026-04-18 01:58:54
Dewi Wulan Sari,Tidak bisa di instal. Di keterangan dikatakan saya sudah menginstal pada perangkat lain. Hp saya saja cuma satu. Dan saya tidak ada download zoom. Ini kenapa sih. Padahal saya butuh banget pake kamu zoom. Saya banyak webinar dari zoom. Tolong customer service bantu saya download zoom ini di hp saya.,1,2026-04-18 00:20:14
Odis Suryaman,good jo,5,2026-04-17 23:37:13
Ardian Herafandy,lancar,5,2026-04-17 22:36:34
Zul Kipli,2oom workpla...,4,2026-04-17 22:16:29
WILLY AL AMRI,bagus,5,2026-04-17 15:59:05
Lusi 1234,tolong adamin kenapa susah sekali untuk daftar akun meskipun kode verifikasi sudah di masukkan tetap keterangan selalu salah,1,2026-04-17 15:00:08
Citra Puspita,bantu background foto,5,2026-04-17 11:18:57
Fatimah Azzahra,"bagus,jelas memudahkan kita buat rapat sama orang yang jauh",5,2026-04-17 11:01:22
Yuli Hermawanto,Belum bisa instal di hape dan pakai Gimana cara pakai,5,2026-04-17 07:40:42
Trisno Gacor,ok,5,2026-04-17 05:48:45
MunWir Munwir,luar biasa,5,2026-04-17 02:04:54
andrie76,virtual background issue,1,2026-04-17 01:18:35
Dien Amala FS,"marai bandat, bendino zoom terus",1,2026-04-17 01:00:21
Ahmad Rusyidi Ramadhan,kenapa sekarang zoom tidak bisa menggunakan background costume,3,2026-04-17 00:07:42
leo nardo,TDK bisa di instal,1,2026-04-16 14:03:19
Sri Pauray Fahmi,baik dan aman,5,2026-04-16 13:53:33
Fadilah Insaniah,"fitur share screen dibuat kayak di laptop dong. biar pas bagikan layar, kita juga tetap biaa liat participantsnya. kalau bisa adakan khusus bagikan layar untuk apk tertenth aja",3,2026-04-16 12:47:35
Maryam Maryam,membantu dalam meeting kerja,5,2026-04-16 03:27:34
Faya Naura Enggrayni,kenapa sering keluar masuk secara otomatis? padahal masih ada acara di zoom.,1,2026-04-16 02:21:06
Endarmina SE,respon lambat dalam verifikasi kode,1,2026-04-16 02:14:06
Hery Rushdi,bagus,5,2026-04-16 02:02:26
budi janto,suara dan gambar jelas,5,2026-04-16 00:09:13
Kusumah Journey,cakep,4,2026-04-15 23:07:27
Minha Diana,KENAPAA DI HP VIVO SY GAK BISA DOUNLOD APLIKASI ZOOM LAGI ??? DAH ITUU AJAA,5,2026-04-15 13:02:34
Dian Ayani,"kenapa saya tidak bisa daftar, berkali kali gabisa.",3,2026-04-15 10:17:58
Nessa Salsabila Haunan,"wth is happening? after i upgrade it, the crash become more frequent. i have an urgent meeting and gosh it kept on sending me a message that the zoom is no longer responding (crashing). I've already sent the formulir for this problem but still no answer. My device has already been upgraded too. I try restart, refresh, go back and forth to setting but still no clue. The camera won't be open either.",1,2026-04-15 09:02:41
PRIYO RAHARJO,keren,5,2026-04-15 07:50:53
moh zainul arifin,"tidak bisa mengganti virtual background.. pasti keterangannya ""an error occurred"" padahal dulu enak banget aplikasi ini..",2,2026-04-15 04:23:32
Sujiroh Sujiroh,mantap,5,2026-04-15 03:51:13
youdie_ falsu,"ganti backgorund di hp gak semua bisa,,?",4,2026-04-15 02:32:33
Ragil Soleh,terimakasih banyak 👍🏿,5,2026-04-15 01:23:38
Ucup Supardi,terima kasih,5,2026-04-15 01:06:29
Sofian Extrame,baik,5,2026-04-15 00:56:11
Go_ Nay,aku udah sering banget pakai apk ini buat kerjaan atau sekolah dan sangat amat bermanfaat dan berguna bangett asli meeting online jadi gampang banget 😭 love deh buat yang nyiptain,5,2026-04-15 00:47:55
Erna Rumsaur,🙏🥰,5,2026-04-14 23:01:50
Bilal Fayad,sangat bagus bgt..,5,2026-04-14 21:50:16
Dwi Yanti,sangat berpungsi dengan baik,5,2026-04-14 20:49:15
Edi Sudrajat,mantap,5,2026-04-14 13:08:01
Panglima Bara Rimba,Mantap,5,2026-04-14 12:29:29
Vivin Yaved,Sangat membantu proses perkuliahan dan meeting jarak jauh,5,2026-04-14 12:07:03
Rahma Baety,ya karna memudahkan dalam bekerja,5,2026-04-14 10:11:43
joni suwanto,belum bisa virtual background,4,2026-04-14 04:13:28
Arul Indrawan,zoom masih yang terbaik dan masih efektif sampai sekarang. maksimalkan jaringan intinyaa,5,2026-04-14 02:49:52
ferry Victor,Ok.,4,2026-04-14 01:37:15
Hendri Anto,mantap,5,2026-04-13 15:55:30
Bukhari Rahman,baik,5,2026-04-13 12:52:10
Errii,aplikasi gak jelas mau login aja ribet masukin verifikasi padahal udah bener gagal mulu,1,2026-04-13 04:17:51
Saiful Sarifudin,"daftar dipersulit karna kode yang d kirim email gagal trus pdahal sudah benar, ini yang eror email atau apk nya",1,2026-04-12 22:18:45
Duit Jost,ok yes,5,2026-04-12 14:20:27
Daton barker,ok banget tapi AQ gak bisa ganti virtual bacgrund kenapa yaa,5,2026-04-12 13:20:35
Anugrah April,bagus,5,2026-04-12 13:19:55
Sumar Amin,top,5,2026-04-11 12:57:03
Pak Gatot,keren banget kak aku jadi bisa nonton sama temen aku dia baik keren dan suka mengaji biar bisa nonton netplik,5,2026-04-11 11:25:10
Joko Rahmatullah,ini udah gak bisa background dan kameranya gak bisa nyala tolong perbaiki lagi jangan di persulit hal yang udah tidak sulit,2,2026-04-11 08:29:49
surya sandisetiawan,"bagus banget fitur"" nyaa",5,2026-04-11 06:02:39
Rahma Ayudya Rayanti,bug microfon kadang gabisa terdeteksi,3,2026-04-11 03:46:12
Ahmad Mubarok,sangat membantu dalam pekerjaan kami,5,2026-04-10 15:00:05
Elvi Mubarak,"zoom tiba tiba tertutup sendiri, keluar dari zoom",2,2026-04-10 13:38:22
abcd efghijkl,GERAM GABISA DI DOWNLOAD,3,2026-04-10 13:05:04
Anwar,mantap,5,2026-04-10 12:40:42
Abdullah Syarofi,ok,5,2026-04-10 11:51:45
Sulastri 0903,efektif bisa menghemat oprasional,5,2026-04-10 11:31:44
Oktavianus Paelongan,ok,5,2026-04-10 10:14:52
Wahyoe Wicaksono,belum bisa menggunakan gambar dari galeri untuk backgroundnya,5,2026-04-10 09:54:09
Saepudin Fajar,tidak bisa memasang beground,3,2026-04-10 09:32:19
Junaidi Hendi,aplikasi yg sangat membantu untuk t uk tatap muka,5,2026-04-10 09:00:08
A Umar,aplikasi gak jelas mau masuk gak bisa padahal kode verifikasi sudah bener dan tidak kadaluwarsa masih saja salah,1,2026-04-10 07:38:19
Arya Duansyah,"aplikasinya kurang nyaman karena gara""aplikasi ini saya tidak bisa interview karena kamera nya GK hidup",1,2026-04-09 16:36:58
Lusriah,zoom sangat membantu kita semua lebih hemat lebih efektif,5,2026-04-09 13:24:46
Ozi Jack,oke,5,2026-04-09 12:05:49
Rika Wahyuni,ribet hp harus begini begitu,1,2026-04-09 12:02:05
Dapur Dutaria (Hikmah najrun),baik,5,2026-04-09 11:02:41
ganteng guranteng,👍🏻👍🏻,4,2026-04-09 09:49:23
Antonius Napitupulu,ok,5,2026-04-09 07:03:20
Jiffri Putra,Keren,5,2026-04-08 14:31:20
Elisabet Ingan,good,5,2026-04-08 13:02:33
Ardianto Sattu Padang,"Ini makin anehh dan ribett, gimana cara bagi linknya kenapa tdk mauu astagaa😌",1,2026-04-08 09:59:18
Mahdi Sahputra15,luar biasa,5,2026-04-08 05:54:59
brenda wadjo,terbaik,5,2026-04-08 02:55:02
Wendo Danur,kode verifikasi sudah bener tapi ga bisa masuk ada tulisan kode salah padahal kode yg saya tulis sudah benar saya minta cepat di perbaiki,1,2026-04-08 02:46:54
Try Ratmo,Tidak dapat menggunakan virtual background,1,2026-04-08 02:31:56
Ulfa Nur Citra Dewi,sebenernya bagus aplikasinya. aku pakenya lancar dan ga ribet. tapi di HP fitur backgroundnya ga ada. apa harus berbayar untuk dapat fitur tersebut?,3,2026-04-08 02:19:14
Nur Tasya,sangat bagus,5,2026-04-08 01:48:17
MSi. Sutarno,oke,5,2026-04-08 00:46:55
Sufy Aldiantika,ngedownloadnya susah,1,2026-04-08 00:24:53
Salman Al Ihsan,Kenapa aplikasinya tidak bisa terdownload di HP saya,1,2026-04-07 21:57:52
yusuf yusuf,lumayan bagus smg lebih baik lg kedepan untuk perjalanan karir meeting ZOOM 4x pertemuan dalam sebulan🙏🥰💪,5,2026-04-07 14:36:02
Akha Hisyam,apk yg bagus,5,2026-04-07 13:20:41
Uchiha GAMMING,mantap,5,2026-04-07 12:18:39
Niagara Sihotang,sejauh ini masih baik baik saja sih...,5,2026-04-07 07:54:42
Rini Ajah,mantap,5,2026-04-07 05:06:19
Rmky Faza,gam ada kamera aneh banget,1,2026-04-07 03:36:10
Zoepalas,kok pas aku lagi belajar keluar sendiri padahal internet lancar,1,2026-04-07 02:38:17
Hakimul Fikri,zoom bug kamera di hp realme di perbaiki aku susah jadinya zoom mana harus on kamera,1,2026-04-07 01:54:03
Mar Gono,baguus,5,2026-04-07 00:12:34
Jihadatul Ma'ruf,"zoom suara jernih dan sangat bermanfaat untuk rapat yg kami adakan,pokoknya ok dee",5,2026-04-06 21:28:02
Johanes Pasandaran,Fungsional dan bagus,5,2026-04-06 14:41:28
Gunawan M,Bagus apalagi disini bebas waktu belajar dan sekali registrasi seumur hidup Mobile Class mantap,4,2026-04-06 14:18:22
Ade Sunandar,percayalah kalau usahamu tida akan sia sia,5,2026-04-06 13:41:13
Albrin Karuntu,layarnya hitam padahal kamera nya sudah di hidupin,1,2026-04-06 13:33:26
Tk Pgri,lumayan,3,2026-04-06 11:23:12
Nurhilalia “Lia” Yusuf,cukup bagus,3,2026-04-06 10:05:52
Moh. Farhan Musliq Ramadhani,gajelas banget padahal kode Verifikasi udah bener dari email tetep aja salah,1,2026-04-06 09:59:57
grace bunga,Tidak ada fitur mengganti background padahal versi sebelumnya ada bahkan ada fitur center stage tapi kini kedua fitur tersebut tidak ada di versi terbarunya. mohon diperbaiki ya,2,2026-04-06 07:39:03
ALDO_2019,aplikasi baik,5,2026-04-06 06:54:09
sholah Odin,coba dulu,4,2026-04-06 05:10:02
