userName,teks_ulasan,rating,tanggal_ulasan,teks_bersih,tokens,tokens_stopword,tokens_stemmed,teks_stemmed,skor_sentimen,kategori_sentimen
Indhy,kouta saya cepat habis,5,2026-06-02 12:33:41,kouta saya cepat habis,"['kouta', 'saya', 'cepat', 'habis']","['kouta', 'cepat', 'habis']","['kouta', 'cepat', 'habis']",kouta cepat habis,0.3,Positif
Aspar Putra Setia,mantaplah,5,2026-06-02 07:47:25,mantaplah,['mantaplah'],['mantaplah'],['mantap'],mantap,0.0,Positif
Akbar Jhoezoya,"Zoom makes online meetings simple and reliable. The video and audio quality are clear, and I rarely experience connection issues. Perfect for both work and personal use.",5,2026-06-02 04:58:43,zoom makes online meetings simple and reliable the video and audio quality are clear and i rarely experience connection issues perfect for both work and personal use,"['zoom', 'makes', 'online', 'meetings', 'simple', 'and', 'reliable', 'the', 'video', 'and', 'audio', 'quality', 'are', 'clear', 'and', 'i', 'rarely', 'experience', 'connection', 'issues', 'perfect', 'for', 'both', 'work', 'and', 'personal', 'use']","['zoom', 'makes', 'online', 'meetings', 'simple', 'reliable', 'video', 'audio', 'quality', 'clear', 'rarely', 'experience', 'connection', 'issues', 'perfect', 'work', 'personal', 'use']","['zoom', 'makes', 'online', 'meetings', 'simple', 'reliable', 'video', 'audio', 'quality', 'clear', 'rarely', 'experience', 'connection', 'issues', 'perfect', 'work', 'personal', 'use']",zoom makes online meetings simple reliable video audio quality clear rarely experience connection issues perfect work personal use,0.3,Positif
Ayu Asrhida,aplikasi yang sangat membantu dalam pekerjaan mempermudah dan menghemat biaya untuk rapat,5,2026-06-02 04:40:26,aplikasi yang sangat membantu dalam pekerjaan mempermudah dan menghemat biaya untuk rapat,"['aplikasi', 'yang', 'sangat', 'membantu', 'dalam', 'pekerjaan', 'mempermudah', 'dan', 'menghemat', 'biaya', 'untuk', 'rapat']","['aplikasi', 'membantu', 'pekerjaan', 'mempermudah', 'menghemat', 'biaya', 'rapat']","['aplikasi', 'bantu', 'kerja', 'mudah', 'hemat', 'biaya', 'rapat']",aplikasi bantu kerja mudah hemat biaya rapat,0.3,Positif
Hannah Bolton,"Paling stabil & jelas! Video/audio jernih, fitur lengkap, gampang dipakai. Sekolah/kerja lancar jaya. Terbaik! 📹✅",5,2026-06-02 03:46:03,paling stabil jelas video audio jernih fitur lengkap gampang dipakai sekolah kerja lancar jaya terbaik,"['paling', 'stabil', 'jelas', 'video', 'audio', 'jernih', 'fitur', 'lengkap', 'gampang', 'dipakai', 'sekolah', 'kerja', 'lancar', 'jaya', 'terbaik']","['stabil', 'video', 'audio', 'jernih', 'fitur', 'lengkap', 'gampang', 'dipakai', 'sekolah', 'kerja', 'lancar', 'jaya', 'terbaik']","['stabil', 'video', 'audio', 'jernih', 'fitur', 'lengkap', 'gampang', 'pakai', 'sekolah', 'kerja', 'lancar', 'jaya', 'baik']",stabil video audio jernih fitur lengkap gampang pakai sekolah kerja lancar jaya baik,0.6,Positif
asep kurnia,bagus,5,2026-06-02 03:23:46,bagus,['bagus'],['bagus'],['bagus'],bagus,0.3,Positif
Herdina Pasaribu,bikin background aja sulit,1,2026-06-02 02:21:59,bikin background aja sulit,"['bikin', 'background', 'aja', 'sulit']","['bikin', 'background', 'sulit']","['bikin', 'background', 'sulit']",bikin background sulit,-0.3,Negatif
Aloysius Herin,luarbiasa,5,2026-06-02 01:10:00,luarbiasa,['luarbiasa'],['luarbiasa'],['luarbiasa'],luarbiasa,0.0,Positif
Donny noer adhi Grab,ngeselin,1,2026-06-01 11:36:25,ngeselin,['ngeselin'],['ngeselin'],['ngeselin'],ngeselin,0.0,Negatif
Intannjani,susah bgt di downloadny,1,2026-06-01 09:12:25,susah bgt di downloadny,"['susah', 'bgt', 'di', 'downloadny']","['susah', 'bgt', 'downloadny']","['susah', 'bgt', 'downloadny']",susah bgt downloadny,-0.3,Negatif
Miftahul Arifin1922,saya menggunakan android versi terbaru tapi mau ganti baground ketika zoom g bisa selalu an error mohon diperbaiki supaya penggunaanya lebih mudah sprti semula,3,2026-06-01 05:15:38,saya menggunakan android versi terbaru tapi mau ganti baground ketika zoom g bisa selalu an error mohon diperbaiki supaya penggunaanya lebih mudah sprti semula,"['saya', 'menggunakan', 'android', 'versi', 'terbaru', 'tapi', 'mau', 'ganti', 'baground', 'ketika', 'zoom', 'g', 'bisa', 'selalu', 'an', 'error', 'mohon', 'diperbaiki', 'supaya', 'penggunaanya', 'lebih', 'mudah', 'sprti', 'semula']","['android', 'versi', 'terbaru', 'ganti', 'baground', 'zoom', 'error', 'mohon', 'diperbaiki', 'penggunaanya', 'mudah', 'sprti']","['android', 'versi', 'baru', 'ganti', 'baground', 'zoom', 'error', 'mohon', 'baik', 'penggunaanya', 'mudah', 'sprti']",android versi baru ganti baground zoom error mohon baik penggunaanya mudah sprti,0.3,Positif
Alexander D.,kerenn,5,2026-06-01 03:04:11,kerenn,['kerenn'],['kerenn'],['kerenn'],kerenn,0.0,Positif
Recook - Kitchen,penggunaan nya sangat mudah,5,2026-05-31 23:42:11,penggunaan nya sangat mudah,"['penggunaan', 'nya', 'sangat', 'mudah']","['penggunaan', 'mudah']","['guna', 'mudah']",guna mudah,0.3,Positif
Megapad Tegal,ok,5,2026-05-31 08:03:46,ok,['ok'],[],[],,0.3,Positif
Muhammad Maksum,ini aplikasi yg berguna buat saya. untuk meeting dan untuk menambah ilmu. mantap !!!!,5,2026-05-31 07:37:13,ini aplikasi yg berguna buat saya untuk meeting dan untuk menambah ilmu mantap,"['ini', 'aplikasi', 'yg', 'berguna', 'buat', 'saya', 'untuk', 'meeting', 'dan', 'untuk', 'menambah', 'ilmu', 'mantap']","['aplikasi', 'berguna', 'meeting', 'menambah', 'ilmu', 'mantap']","['aplikasi', 'guna', 'meeting', 'tambah', 'ilmu', 'mantap']",aplikasi guna meeting tambah ilmu mantap,0.6,Positif
Ipunkuye,sangat membantu u tuk perkuliahan,5,2026-05-31 05:07:15,sangat membantu u tuk perkuliahan,"['sangat', 'membantu', 'u', 'tuk', 'perkuliahan']","['membantu', 'tuk', 'perkuliahan']","['bantu', 'tuk', 'kuliah']",bantu tuk kuliah,0.3,Positif
Ranny DPS,Good,5,2026-05-31 01:55:39,good,['good'],['good'],['good'],good,0.3,Positif
Maskud,mantab,5,2026-05-30 23:57:38,mantab,['mantab'],['mantab'],['mantab'],mantab,0.0,Positif
Zainul Arifin,Zoom Sangat Bagus .,5,2026-05-30 15:00:27,zoom sangat bagus,"['zoom', 'sangat', 'bagus']","['zoom', 'bagus']","['zoom', 'bagus']",zoom bagus,0.3,Positif
Aida Salsabila,sangat membantu,5,2026-05-30 00:29:44,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu,0.3,Positif
Akun Kedua,"sering bug, kadang kalo masuk room, suara kita ga bisa terdengar🥲",4,2026-05-29 13:30:01,sering bug kadang kalo masuk room suara kita ga bisa terdengar,"['sering', 'bug', 'kadang', 'kalo', 'masuk', 'room', 'suara', 'kita', 'ga', 'bisa', 'terdengar']","['bug', 'kadang', 'masuk', 'room', 'suara', 'terdengar']","['bug', 'kadang', 'masuk', 'room', 'suara', 'dengar']",bug kadang masuk room suara dengar,-0.6,Positif
Ririn Asmawati,luar biasa kami bisa menggunakan zoom Workplace LBH mudah dan simple untuk presentasi online,5,2026-05-29 11:47:34,luar biasa kami bisa menggunakan zoom workplace lbh mudah dan simple untuk presentasi online,"['luar', 'biasa', 'kami', 'bisa', 'menggunakan', 'zoom', 'workplace', 'lbh', 'mudah', 'dan', 'simple', 'untuk', 'presentasi', 'online']","['zoom', 'workplace', 'lbh', 'mudah', 'simple', 'presentasi', 'online']","['zoom', 'workplace', 'lbh', 'mudah', 'simple', 'presentasi', 'online']",zoom workplace lbh mudah simple presentasi online,0.6,Positif
Teguh Bayu Bagasworo,mantab 👍👍👍,5,2026-05-29 04:06:24,mantab,['mantab'],['mantab'],['mantab'],mantab,0.0,Positif
Derew Masibe,"aplikasi aneh. virtual background memang ada, tapi ga bisa dipakai apalagi ga bisa pakai background dari gambar sendiri. kalah sama aplikasi sebelah. udh jadi app besarpun ga ada perbaikan. -10/10",1,2026-05-29 01:49:06,aplikasi aneh virtual background memang ada tapi ga bisa dipakai apalagi ga bisa pakai background dari gambar sendiri kalah sama aplikasi sebelah udh jadi app besarpun ga ada perbaikan,"['aplikasi', 'aneh', 'virtual', 'background', 'memang', 'ada', 'tapi', 'ga', 'bisa', 'dipakai', 'apalagi', 'ga', 'bisa', 'pakai', 'background', 'dari', 'gambar', 'sendiri', 'kalah', 'sama', 'aplikasi', 'sebelah', 'udh', 'jadi', 'app', 'besarpun', 'ga', 'ada', 'perbaikan']","['aplikasi', 'aneh', 'virtual', 'background', 'dipakai', 'pakai', 'background', 'gambar', 'kalah', 'aplikasi', 'sebelah', 'udh', 'app', 'besarpun', 'perbaikan']","['aplikasi', 'aneh', 'virtual', 'background', 'pakai', 'pakai', 'background', 'gambar', 'kalah', 'aplikasi', 'belah', 'udh', 'app', 'besar', 'baik']",aplikasi aneh virtual background pakai pakai background gambar kalah aplikasi belah udh app besar baik,-0.6,Negatif
Febry Irwansa,"tidak bisa ganti background Zoom, nilai harusnya nol.",1,2026-05-28 14:50:02,tidak bisa ganti background zoom nilai harusnya nol,"['tidak', 'bisa', 'ganti', 'background', 'zoom', 'nilai', 'harusnya', 'nol']","['tidak', 'ganti', 'background', 'zoom', 'nilai', 'nol']","['tidak', 'ganti', 'background', 'zoom', 'nilai', 'nol']",tidak ganti background zoom nilai nol,-0.3,Negatif
Reni Miftahul,bagus,5,2026-05-28 13:13:09,bagus,['bagus'],['bagus'],['bagus'],bagus,0.3,Positif
Mimin Mintarsih,andai bintang bisa lebih dari lima ya bagus banget,5,2026-05-28 12:58:10,andai bintang bisa lebih dari lima ya bagus banget,"['andai', 'bintang', 'bisa', 'lebih', 'dari', 'lima', 'ya', 'bagus', 'banget']","['andai', 'bintang', 'bagus']","['andai', 'bintang', 'bagus']",andai bintang bagus,0.6,Positif
Mhd raffa21 Raffa,bagus sekali,5,2026-05-28 12:21:35,bagus sekali,"['bagus', 'sekali']",['bagus'],['bagus'],bagus,0.3,Positif
Iqbal Hippy,.keReen..,5,2026-05-28 03:20:03,kereen,['kereen'],['kereen'],['kereen'],kereen,0.0,Positif
Ruben Manullang,Mauliate ma di panitia,5,2026-05-28 02:32:28,mauliate ma di panitia,"['mauliate', 'ma', 'di', 'panitia']","['mauliate', 'panitia']","['mauliate', 'panitia']",mauliate panitia,0.0,Positif
Slepmen,aplikasi tolol mau buat akun meni ribet inilah itulah ujung ujungnya GK bisa tidak valid emang tolol ni aplikasi,1,2026-05-27 13:57:13,aplikasi tolol mau buat akun meni ribet inilah itulah ujung ujungnya gk bisa tidak valid emang tolol ni aplikasi,"['aplikasi', 'tolol', 'mau', 'buat', 'akun', 'meni', 'ribet', 'inilah', 'itulah', 'ujung', 'ujungnya', 'gk', 'bisa', 'tidak', 'valid', 'emang', 'tolol', 'ni', 'aplikasi']","['aplikasi', 'tolol', 'akun', 'meni', 'ribet', 'ujung', 'ujungnya', 'tidak', 'valid', 'emang', 'tolol', 'aplikasi']","['aplikasi', 'tolol', 'akun', 'meni', 'ribet', 'ujung', 'ujung', 'tidak', 'valid', 'emang', 'tolol', 'aplikasi']",aplikasi tolol akun meni ribet ujung ujung tidak valid emang tolol aplikasi,0.0,Negatif
DANIEL ADE,sangat membantu,5,2026-05-27 11:22:16,sangat membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu,0.3,Positif
Job,Good and helpful 👍🏼👍🏼,5,2026-05-26 23:39:06,good and helpful,"['good', 'and', 'helpful']","['good', 'helpful']","['good', 'helpful']",good helpful,0.6,Positif
M Surin,saya cobak kasih bintang 4 dulu,4,2026-05-26 06:10:34,saya cobak kasih bintang dulu,"['saya', 'cobak', 'kasih', 'bintang', 'dulu']","['cobak', 'kasih', 'bintang']","['cobak', 'kasih', 'bintang']",cobak kasih bintang,0.3,Positif
Hasan Terapi Kesehatan,Good,5,2026-05-26 04:31:21,good,['good'],['good'],['good'],good,0.3,Positif
selvince haning,instal nggak bisa,1,2026-05-26 02:24:26,instal nggak bisa,"['instal', 'nggak', 'bisa']","['instal', 'nggak']","['instal', 'nggak']",instal nggak,-0.3,Negatif
Febrianti Eri,"bagus, mantap.",5,2026-05-26 01:36:25,bagus mantap,"['bagus', 'mantap']","['bagus', 'mantap']","['bagus', 'mantap']",bagus mantap,0.6,Positif
Ataturk Aulia,"tolol, harus banget apa kalo di hp login dlu, udah login cape cape kirain udah masuk di aplikasinya malah disuruh login lagi ujung ujungnya ke website Mulu, trus apa guna aplikasi kalo tabnya ke website Mulu",2,2026-05-25 23:32:37,tolol harus banget apa kalo di hp login dlu udah login cape cape kirain udah masuk di aplikasinya malah disuruh login lagi ujung ujungnya ke website mulu trus apa guna aplikasi kalo tabnya ke website mulu,"['tolol', 'harus', 'banget', 'apa', 'kalo', 'di', 'hp', 'login', 'dlu', 'udah', 'login', 'cape', 'cape', 'kirain', 'udah', 'masuk', 'di', 'aplikasinya', 'malah', 'disuruh', 'login', 'lagi', 'ujung', 'ujungnya', 'ke', 'website', 'mulu', 'trus', 'apa', 'guna', 'aplikasi', 'kalo', 'tabnya', 'ke', 'website', 'mulu']","['tolol', 'login', 'dlu', 'udah', 'login', 'cape', 'cape', 'kirain', 'udah', 'masuk', 'aplikasinya', 'disuruh', 'login', 'ujung', 'ujungnya', 'website', 'mulu', 'trus', 'aplikasi', 'tabnya', 'website', 'mulu']","['tolol', 'login', 'dlu', 'udah', 'login', 'cape', 'cape', 'kirain', 'udah', 'masuk', 'aplikasi', 'suruh', 'login', 'ujung', 'ujung', 'website', 'mulu', 'trus', 'aplikasi', 'tabnya', 'website', 'mulu']",tolol login dlu udah login cape cape kirain udah masuk aplikasi suruh login ujung ujung website mulu trus aplikasi tabnya website mulu,0.0,Negatif
CV. NIZAM TRICAL,mantap,5,2026-05-25 16:18:13,mantap,['mantap'],['mantap'],['mantap'],mantap,0.3,Positif
Marcella Sri Januwati,"Lancar dan sgt memberkati u pertemuan jarak jauh,menjangkau yg jauh di mana pun berada",4,2026-05-25 14:42:07,lancar dan sgt memberkati u pertemuan jarak jauh menjangkau yg jauh di mana pun berada,"['lancar', 'dan', 'sgt', 'memberkati', 'u', 'pertemuan', 'jarak', 'jauh', 'menjangkau', 'yg', 'jauh', 'di', 'mana', 'pun', 'berada']","['lancar', 'sgt', 'memberkati', 'pertemuan', 'jarak', 'menjangkau']","['lancar', 'sgt', 'kati', 'temu', 'jarak', 'jangkau']",lancar sgt kati temu jarak jangkau,0.3,Positif
Treasure Maker,najis udah hapus sampe 1 gb pun masih ga bisa ke download ini app,1,2026-05-25 09:29:43,najis udah hapus sampe gb pun masih ga bisa ke download ini app,"['najis', 'udah', 'hapus', 'sampe', 'gb', 'pun', 'masih', 'ga', 'bisa', 'ke', 'download', 'ini', 'app']","['najis', 'udah', 'hapus', 'sampe', 'download', 'app']","['najis', 'udah', 'hapus', 'sampe', 'download', 'app']",najis udah hapus sampe download app,-0.6,Negatif
Andri Kurniawan,Tidak bisa login pakai akun pribadi ini bagaimana ya?,2,2026-05-25 09:09:07,tidak bisa login pakai akun pribadi ini bagaimana ya,"['tidak', 'bisa', 'login', 'pakai', 'akun', 'pribadi', 'ini', 'bagaimana', 'ya']","['tidak', 'login', 'pakai', 'akun', 'pribadi']","['tidak', 'login', 'pakai', 'akun', 'pribadi']",tidak login pakai akun pribadi,-0.3,Negatif
juliyanto naim,aplikasi ini membuat saya binggu mendonlotnya pusing,5,2026-05-25 07:22:09,aplikasi ini membuat saya binggu mendonlotnya pusing,"['aplikasi', 'ini', 'membuat', 'saya', 'binggu', 'mendonlotnya', 'pusing']","['aplikasi', 'binggu', 'mendonlotnya', 'pusing']","['aplikasi', 'binggu', 'mendonlotnya', 'pusing']",aplikasi binggu mendonlotnya pusing,0.0,Positif
Yati Iteng,ok bagys,4,2026-05-25 01:52:42,ok bagys,"['ok', 'bagys']",['bagys'],['bagys'],bagys,0.3,Positif
Imam Mukhson,bagus,4,2026-05-25 00:18:28,bagus,['bagus'],['bagus'],['bagus'],bagus,0.3,Positif
Dapa Standar Tengah,login susah gak jelas!!!! masa kode benar disalah ke terus,1,2026-05-24 23:55:25,login susah gak jelas masa kode benar disalah ke terus,"['login', 'susah', 'gak', 'jelas', 'masa', 'kode', 'benar', 'disalah', 'ke', 'terus']","['login', 'susah', 'kode', 'disalah']","['login', 'susah', 'kode', 'salah']",login susah kode salah,-0.6,Negatif
siti fatimah,keren,5,2026-05-24 12:13:53,keren,['keren'],['keren'],['keren'],keren,0.3,Positif
Edo41 Htb,sangat membatu kerjaan saya terima kasih Zoom,5,2026-05-24 09:52:32,sangat membatu kerjaan saya terima kasih zoom,"['sangat', 'membatu', 'kerjaan', 'saya', 'terima', 'kasih', 'zoom']","['membatu', 'kerjaan', 'terima', 'kasih', 'zoom']","['batu', 'kerja', 'terima', 'kasih', 'zoom']",batu kerja terima kasih zoom,0.6,Positif
Griya Arrahmah,belajar semakin mudah Tampa halangan seolah olah jarak suatu wilayah menjadi semakin dekat,5,2026-05-23 23:17:34,belajar semakin mudah tampa halangan seolah olah jarak suatu wilayah menjadi semakin dekat,"['belajar', 'semakin', 'mudah', 'tampa', 'halangan', 'seolah', 'olah', 'jarak', 'suatu', 'wilayah', 'menjadi', 'semakin', 'dekat']","['belajar', 'mudah', 'tampa', 'halangan', 'olah', 'jarak', 'wilayah']","['ajar', 'mudah', 'tampa', 'halang', 'olah', 'jarak', 'wilayah']",ajar mudah tampa halang olah jarak wilayah,0.3,Positif
Sam the real ganteng Fernandez,belajar online jauh lebih gampang,5,2026-05-23 08:27:56,belajar online jauh lebih gampang,"['belajar', 'online', 'jauh', 'lebih', 'gampang']","['belajar', 'online', 'gampang']","['ajar', 'online', 'gampang']",ajar online gampang,0.0,Positif
Rahmat Alkarim,👍🏻👍🏻👍🏻👍🏻,5,2026-05-23 05:59:11,,[],[],[],,0.0,Positif
asrizal rizal,sudah baik,4,2026-05-23 04:59:22,sudah baik,"['sudah', 'baik']",[],[],,0.0,Positif
Laila kurnia Sari,susah masuk ke aplikasinya ribet daripada masukin akun ga bisa bisa padahal udah bener semua,2,2026-05-23 04:14:06,susah masuk ke aplikasinya ribet daripada masukin akun ga bisa bisa padahal udah bener semua,"['susah', 'masuk', 'ke', 'aplikasinya', 'ribet', 'daripada', 'masukin', 'akun', 'ga', 'bisa', 'bisa', 'padahal', 'udah', 'bener', 'semua']","['susah', 'masuk', 'aplikasinya', 'ribet', 'masukin', 'akun', 'udah', 'bener']","['susah', 'masuk', 'aplikasi', 'ribet', 'masukin', 'akun', 'udah', 'bener']",susah masuk aplikasi ribet masukin akun udah bener,-0.5999999999999999,Negatif
Merlin Pangemanan,mantap,5,2026-05-23 02:39:52,mantap,['mantap'],['mantap'],['mantap'],mantap,0.3,Positif
Ayub Degei,ok,5,2026-05-23 01:45:21,ok,['ok'],[],[],,0.3,Positif
Spd Supendi,ok,5,2026-05-22 23:23:04,ok,['ok'],[],[],,0.3,Positif
Dimitri V.,"Aplikasi memakan banyak ruang penyimpanan, seharusnya aplikasi sederhana seperti ini dibawah 50mb saja. Kok sampe 600mb lebih? apalagi sekelas perusahaan besar 🤦‍♂️",1,2026-05-22 21:02:42,aplikasi memakan banyak ruang penyimpanan seharusnya aplikasi sederhana seperti ini dibawah mb saja kok sampe mb lebih apalagi sekelas perusahaan besar,"['aplikasi', 'memakan', 'banyak', 'ruang', 'penyimpanan', 'seharusnya', 'aplikasi', 'sederhana', 'seperti', 'ini', 'dibawah', 'mb', 'saja', 'kok', 'sampe', 'mb', 'lebih', 'apalagi', 'sekelas', 'perusahaan', 'besar']","['aplikasi', 'memakan', 'ruang', 'penyimpanan', 'aplikasi', 'sederhana', 'dibawah', 'sampe', 'sekelas', 'perusahaan']","['aplikasi', 'makan', 'ruang', 'simpan', 'aplikasi', 'sederhana', 'bawah', 'sampe', 'kelas', 'usaha']",aplikasi makan ruang simpan aplikasi sederhana bawah sampe kelas usaha,0.0,Negatif
mariam khan,keren,5,2026-05-22 13:40:21,keren,['keren'],['keren'],['keren'],keren,0.3,Positif
MAFIA,sangat bagus aplikasi zoom ini untuk webinar dan sebagainya,5,2026-05-22 12:54:25,sangat bagus aplikasi zoom ini untuk webinar dan sebagainya,"['sangat', 'bagus', 'aplikasi', 'zoom', 'ini', 'untuk', 'webinar', 'dan', 'sebagainya']","['bagus', 'aplikasi', 'zoom', 'webinar']","['bagus', 'aplikasi', 'zoom', 'webinar']",bagus aplikasi zoom webinar,0.3,Positif
Giofan Gilbert AM,sangat bagus,5,2026-05-22 12:00:52,sangat bagus,"['sangat', 'bagus']",['bagus'],['bagus'],bagus,0.3,Positif
Tamrinriah Riah,semogah bermampaat,5,2026-05-22 09:37:15,semogah bermampaat,"['semogah', 'bermampaat']","['semogah', 'bermampaat']","['semogah', 'bermampaat']",semogah bermampaat,0.0,Positif
Dela Puspita,"sebenarnya sudah bagus, cuma di hp saya yang sudah support virtual background, ketika saya mulai rapat tetap tidak ada opsi untuk mengganti virtual background",2,2026-05-22 02:50:10,sebenarnya sudah bagus cuma di hp saya yang sudah support virtual background ketika saya mulai rapat tetap tidak ada opsi untuk mengganti virtual background,"['sebenarnya', 'sudah', 'bagus', 'cuma', 'di', 'hp', 'saya', 'yang', 'sudah', 'support', 'virtual', 'background', 'ketika', 'saya', 'mulai', 'rapat', 'tetap', 'tidak', 'ada', 'opsi', 'untuk', 'mengganti', 'virtual', 'background']","['bagus', 'support', 'virtual', 'background', 'rapat', 'tidak', 'opsi', 'mengganti', 'virtual', 'background']","['bagus', 'support', 'virtual', 'background', 'rapat', 'tidak', 'opsi', 'ganti', 'virtual', 'background']",bagus support virtual background rapat tidak opsi ganti virtual background,0.3,Negatif
Travel Umroh,keren banget,5,2026-05-22 01:29:00,keren banget,"['keren', 'banget']",['keren'],['keren'],keren,0.3,Positif
Fajar Dwiono,ok,5,2026-05-22 01:17:26,ok,['ok'],[],[],,0.3,Positif
Budiman,tidak suport buat ganti background payah!,2,2026-05-22 00:31:12,tidak suport buat ganti background payah,"['tidak', 'suport', 'buat', 'ganti', 'background', 'payah']","['tidak', 'suport', 'ganti', 'background', 'payah']","['tidak', 'suport', 'ganti', 'background', 'payah']",tidak suport ganti background payah,-0.3,Negatif
Hilmi rivairamdani,"kenapa saya tidak bisa masuk dngn akun google, dan petunjuknya ""Maaf, Anda tidak dapat mendaftar Zoom pada saat ini.""",1,2026-05-21 22:27:24,kenapa saya tidak bisa masuk dngn akun google dan petunjuknya maaf anda tidak dapat mendaftar zoom pada saat ini,"['kenapa', 'saya', 'tidak', 'bisa', 'masuk', 'dngn', 'akun', 'google', 'dan', 'petunjuknya', 'maaf', 'anda', 'tidak', 'dapat', 'mendaftar', 'zoom', 'pada', 'saat', 'ini']","['tidak', 'masuk', 'dngn', 'akun', 'google', 'petunjuknya', 'maaf', 'tidak', 'mendaftar', 'zoom']","['tidak', 'masuk', 'dngn', 'akun', 'google', 'tunjuk', 'maaf', 'tidak', 'daftar', 'zoom']",tidak masuk dngn akun google tunjuk maaf tidak daftar zoom,-0.3,Negatif
Yuli Ana,good,5,2026-05-21 17:42:55,good,['good'],['good'],['good'],good,0.3,Positif
Hanafi Jaballah,bagus,5,2026-05-21 17:09:03,bagus,['bagus'],['bagus'],['bagus'],bagus,0.3,Positif
Indri yani,"zoom jangan picky sama android dong, masa cuma mau ganti baground dari hp aja gabisa huhu",2,2026-05-21 09:39:33,zoom jangan picky sama android dong masa cuma mau ganti baground dari hp aja gabisa huhu,"['zoom', 'jangan', 'picky', 'sama', 'android', 'dong', 'masa', 'cuma', 'mau', 'ganti', 'baground', 'dari', 'hp', 'aja', 'gabisa', 'huhu']","['zoom', 'jangan', 'picky', 'android', 'ganti', 'baground', 'gabisa', 'huhu']","['zoom', 'jangan', 'picky', 'android', 'ganti', 'baground', 'gabisa', 'huhu']",zoom jangan picky android ganti baground gabisa huhu,0.0,Negatif
Arjunk Tarra',baru 4 baru pengecekan,4,2026-05-21 05:56:20,baru baru pengecekan,"['baru', 'baru', 'pengecekan']",['pengecekan'],['kece'],kece,0.0,Positif
Raizel,"Apa ini, login google aja ga bisa",1,2026-05-21 05:55:16,apa ini login google aja ga bisa,"['apa', 'ini', 'login', 'google', 'aja', 'ga', 'bisa']","['login', 'google']","['login', 'google']",login google,-0.3,Negatif
Norman,good aplication. sahlun jiddan no embel embel.,5,2026-05-21 05:34:16,good aplication sahlun jiddan no embel embel,"['good', 'aplication', 'sahlun', 'jiddan', 'no', 'embel', 'embel']","['good', 'aplication', 'sahlun', 'jiddan', 'embel', 'embel']","['good', 'aplication', 'sahlun', 'jiddan', 'embel', 'embel']",good aplication sahlun jiddan embel embel,0.3,Positif
Muh Hafifuddin,tidak bisa menggantikan latar belakang,3,2026-05-21 03:51:58,tidak bisa menggantikan latar belakang,"['tidak', 'bisa', 'menggantikan', 'latar', 'belakang']","['tidak', 'menggantikan', 'latar']","['tidak', 'ganti', 'latar']",tidak ganti latar,-0.3,Negatif
Alfonsius Widiantoro,ok tetapi kenapa chat dimenu obrolan saya TDK bisa digunakan ya mohon dibantu,5,2026-05-21 03:29:57,ok tetapi kenapa chat dimenu obrolan saya tdk bisa digunakan ya mohon dibantu,"['ok', 'tetapi', 'kenapa', 'chat', 'dimenu', 'obrolan', 'saya', 'tdk', 'bisa', 'digunakan', 'ya', 'mohon', 'dibantu']","['chat', 'dimenu', 'obrolan', 'tdk', 'mohon', 'dibantu']","['chat', 'menu', 'obrol', 'tdk', 'mohon', 'bantu']",chat menu obrol tdk mohon bantu,0.6,Positif
